ReviewID,DestinationID_x,UserID,Rating,Name_x,State,Type,Popularity,BestTimeToVisit,DestinationID_y,ExperienceRating,Preferences,NumberOfAdults,NumberOfChildren,EstimatedBudget,No_of_Days,Age_Range,Health_Issue,Purpose,Interest,Seasonality,Difficulties,Cuisine_Type,Distance_km,Image_URL,TotalTravelers,BudgetPerDay,BudgetPerPerson,BudgetPerPersonDay,HasKids,Solo,Couple,Family,Group,LargeFamily,AvgRating,RatingGap,HighRating,VeryHighRating,PopRating,PopExpRating,QualityScore,ValuePerRupee,PopPerRupee,RatingPerDay,PopPerDay,DistPerDay,DistPerPerson,NearDest,FarDest,DestRatingMean,DestRatingStd,DestRatingMin,DestRatingMax,DestReviewCount,DestExpMean,DestExpStd,DestPopMean,DestPopStd,DestBudgetMean,DestBudgetStd,DestDaysMean,DestDaysStd,DestDistMean,DestAdultsMean,DestChildrenMean,DestReliability,DestConsistency,DestPopular,DestPremium,DestFamilyFriendly,UserRatingMean,UserRatingStd,UserRatingMin,UserRatingMax,UserReviewCount,UserExpMean,UserExpStd,UserBudgetMean,UserBudgetStd,UserDaysMean,UserDaysStd,UserDistMean,UserPopMean,UserExperience,UserGenerous,UserCritical,UserBigSpender,UserLongTrips,BudgetDiff,BudgetMatch,WithinBudget,DaysDiff,DaysMatch,AboveUserAvg,BelowUserAvg,RatingVsUser,PopVsUserPref,DistVsUserPref,UserTypeRating,UserTypeCount,TypeFamiliar,TypeExpert,TypeNovice,DistCat,BudgetCat,DurationCat,PopCat,RatingCat,Type_Enc,BestTimeToVisit_Enc,Preferences_Enc,Age_Range_Enc,Health_Issue_Enc,Purpose_Enc,Interest_Enc,Seasonality_Enc,Difficulties_Enc,Cuisine_Type_Enc,State_Enc,Name_x_Enc,DistCat_Enc,BudgetCat_Enc,DurationCat_Enc,PopCat_Enc,RatingCat_Enc,Target,RatingScore
4,358,959,0.0,Delhi,Delhi,City,-0.7799552114946409,Oct-Mar,660,0.5,"Nature, Adventure",-1.0,0.0,-0.6363636363636364,-1.5,46-60,High Blood Pressure,Business,"Shopping, Food & Local Cuisine",All seasons,"Traffic congestion, pollution",Street Food,0.010416666666666666,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFxblF-zkMM4NsiVuRyJ1Yx76TMcpdDWzU6zEf57y1aQ&s=10,0.0,1.6808018504240552,-0.7272727272727273,2.6673913043478263,1,0,0,1,0,0,0.3333333333333333,0.0,0,0,-0.13844308282750603,0.2651789585312483,0.34636905702526816,-0.5696590135160912,-0.8089023261987015,4.124999999999999,3.7040223006350605,3.751405371642724,0.33695652173913043,0,0,-0.25,0.7071067811865476,0.0,-0.3333333333333333,1.0,0.75,1.0,-0.7799552114946409,0.0,0.07673860911270983,2.2195121951219514,-1.0,1.0,-0.4253731343283582,0.0,0.42857142857142855,-0.01611160637019009,-0.963710722590775,1,1,1,0.5,0.591751709536137,0.5,0.5,0.0,0.5,0.0,-0.40060698027314107,0.7948054927027761,-0.25,2.0,-0.06976744186046512,-1.374853882102766,0.0,1,0,0,0,0.875,-1.1655433674475066,1,2.1666666666666665,-1.9365079365079363,0,1,-1.6551724137931032,0.36185349621086244,0.4894259818731118,0.5,1.0,1,0,0,Medium,Economy,Weekend,High,Fair,2,3,2,3,1,1,3,0,4,16,2,9,1,1,1,0,1,0,3.5
5,989,353,-0.5,Munnar,Kerala,Nature,-0.298821524115299,Sep-Mar,894,1.0,"Nature, Adventure",0.0,-0.5,0.0,0.0,26-35,Asthma,Family Vacation,"Nature & Relaxation, Photography",Post-Monsoon,"Curvy roads, limited medical facilities",Kerala Cuisine,0.08333333333333333,https://images.unsplash.com/photo-1491497895121-1334fc14d8c9,0.0,-0.01927525057825757,0.5454545454545454,0.2706521739130435,0,0,1,0,0,0,0.3333333333333333,1.0,0,0,-0.4646551828297521,0.7768413589871853,0.2097889205198468,0.25830146962059647,-0.007320906334011806,0.18749999999999997,-0.05690064248788782,0.11367895065584012,0.41304347826086957,0,0,-0.5,0.0,0.0,-0.6666666666666666,0.0,1.0,0.0,-0.298821524115299,0.0,0.009592326139088728,0.0,0.0,0.0,0.20149253731343283,0.5,-0.8571428571428571,-0.8571428571428572,0.0,0,1,0,-0.5,-0.408248290463863,0.0,-1.0,-0.5,1.0,0.0,0.0,-0.3826841261161515,0.0,-0.5,0.24806201550387597,-0.4811982896889218,-0.5849625007211561,0,1,0,0,-0.375,0.3934525244337349,1,-0.3333333333333335,0.28571428571428603,0,0,0.0,0.0,0.0,-0.5,0.0,0,0,0,Medium,Moderate,Week,High,Poor,4,4,2,1,0,2,1,1,1,5,7,26,1,3,0,0,3,0,3.5
7,977,735,0.0,Baga Beach,Goa,Beach,0.0,Nov-Mar,7,0.0,"City, Historical",-1.0,-0.5,-1.0757575757575757,0.0,46-60,Knee Pain,Honeymoon,"Relaxation, Nightlife, Water Sports",Winter,"Crowds, sun exposure",Seafood,-0.84375,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeseYB8OMIYAnzRmlYP6matYpojVkK9lRx0Wgn7x8BYcxvxjfwm4QrUxM&s=10,-1.0,-0.8404009252120278,-0.5757575757575758,-0.33260869565217394,0,1,0,0,0,0,0.0,-0.5,0,0,-0.02895051582953554,-0.011636361435418376,0.13906007318968383,2.171013178546666,2.4182227697976146,0.0,-0.008706699229721235,-0.6645846346033729,0.08695652173913043,0,0,0.16666666666666674,0.5773502691896257,0.3333333333333333,0.0,2.0,0.6666666666666665,1.632993161855452,0.0,0.0,-1.2885691446842524,0.32601524643517765,0.0,1.414213562373095,-0.6517412935323382,-0.16666666666666674,-0.8571428571428571,1.142857142857143,-0.9376024857396118,1,0,0,-0.5,0.591751709536137,-0.5,-0.5,0.0,0.0,0.0,-1.3201820940819422,-0.2943724047047319,-0.75,0.9999999999999999,0.11627906976744186,0.1823909978868047,0.0,0,1,0,0,-0.28125,0.09485602956128063,1,1.1666666666666665,-1.4285714285714284,1,0,1.6551724137931032,-0.5230355661001136,-2.9184290030211484,0.0,0.0,0,0,0,Near,Budget,Week,High,Fair,1,2,1,3,2,3,2,3,0,14,3,3,2,0,0,0,1,0,3.0
9,698,330,-0.5,Jaipur,Rajasthan,City,-0.1985591402373763,Oct-Mar,208,0.0,"City, Historical",0.0,0.0,0.0,-1.0,46-60,High Blood Pressure,Business,"Shopping, Food & Local Cuisine",All seasons,"Traffic congestion, pollution",Rajasthani Cuisine,-0.2708333333333333,https://t4.ftcdn.net/jpg/05/84/76/73/360_F_584767353_EXYOkE8NcX37UwV4WfBw7AjBaEtU6mMy.jpg,1.0,1.195065535851966,-0.5151515151515151,0.841304347826087,1,0,0,1,0,0,-0.3333333333333333,0.0,0,0,-0.4552717501895689,-0.04111525697455049,-0.19859347415647832,-0.6639184032252803,-0.653049819547653,0.7499999999999999,1.3325439833477521,0.8132417239225485,-0.3695652173913043,0,0,-0.5,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,-0.1985591402373763,0.0,0.009592326139088728,0.0,-1.0,0.0,-0.30597014925373134,0.5,0.0,-0.8571428571428572,0.0,0,1,1,-0.6666666666666666,0.0,-0.5,-1.0,0.5,0.16666666666666674,0.816496580927726,0.22458270106221537,0.09982328590714948,0.0,0.7247448713915889,-0.12403100775193798,0.15321086070391826,0.415037499278844,0,1,1,0,0.39583333333333304,-0.28661993877190506,1,1.6666666666666665,-1.314285714285714,1,0,0.5517241379310343,-1.306906691622856,-0.3625377643504532,-0.5,0.0,0,0,0,Medium,Moderate,Weekend,High,Poor,2,3,1,3,1,1,3,0,4,13,13,15,1,3,1,0,3,0,2.5
12,305,813,-0.5,Ooty,Tamil Nadu,Nature,-0.3974575132503744,Apr-Jun,441,-0.5,"City, Historical",-1.0,0.5,0.10606060606060606,-0.5,18-25,Knee Pain,Adventure,"Trekking, Adventure Sports",Summer,"High altitude, physical exertion",South Indian Cuisine,-0.22916666666666666,https://t3.ftcdn.net/jpg/05/09/58/00/360_F_509580096_YjyHXMHyTm9OOkjUQS4kOxDXkxbOMWYi.jpg,1.0,0.49344641480339246,-0.3737373737373736,0.18188405797101462,1,0,0,1,0,0,-0.6666666666666666,-0.5,0,0,-0.4738864031952457,-0.48218420480401053,-0.41880661213589926,-0.605103484792668,-0.40143128300251374,-0.12500000000000003,0.3742566662958029,0.19529460753695602,-0.34057971014492755,0,0,-0.25,0.7071067811865476,0.0,-0.3333333333333333,1.0,-0.5,0.0,-0.3974575132503744,0.0,-0.45083932853717024,1.5121951219512197,-0.5,0.0,0.1417910447761194,-0.5,0.0,-0.01611160637019009,-0.963710722590775,1,0,1,0.0,0.591751709536137,0.0,0.0,0.0,-0.5,0.0,0.3823975720789074,0.4415586070570978,0.0,0.5,-1.1046511627906976,-1.0517230128601673,0.0,0,0,1,0,0.5,-0.3254237149319001,1,0.6666666666666665,-0.5142857142857138,0,1,-1.6551724137931032,1.1384445341890292,2.0755287009063443,-0.5,0.0,0,0,0,Medium,Moderate,Weekend,High,Poor,4,0,1,0,2,0,4,2,2,15,14,27,1,3,1,0,3,0,2.0
14,300,626,-1.0,Manali,Himachal Pradesh,Adventure,-0.7179971715913225,Apr-Jun,952,0.5,"Nature, Adventure",0.0,-0.5,-0.12121212121212122,0.5,18-25,Knee Pain,Adventure,"Trekking, Adventure Sports",Summer,"High altitude, physical exertion",Himachali Cuisine,0.46875,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/b2/79/37/solang-valley-manali.jpg,0.0,-0.33616037008481114,0.30303030303030304,-0.17608695652173914,0,0,1,0,0,0,-0.3333333333333333,1.0,0,0,-0.8780254094187225,0.277443681165427,-0.4346463714083947,0.1747180906930081,0.3380806665610755,-0.37499999999999994,-0.38240516724089196,0.11367895065584012,0.8152173913043478,0,0,-1.0,0.0,-0.3333333333333333,-1.0,0.0,0.5,0.0,-0.7179971715913225,0.0,-0.14388489208633093,0.0,0.5,0.0,0.753731343283582,0.5,-0.8571428571428571,-1.2857142857142856,0.0,0,0,0,-0.75,0.09175170953613696,-0.5,-1.0,0.0,0.75,1.0,-0.30045523520485584,0.11774896188189272,0.75,0.0,-0.06201550387596899,-0.8175538390498114,0.0,0,1,0,1,0.15625,-0.22794479124973985,1,0.16666666666666652,-0.021978021978021456,0,1,-0.8275862068965516,-0.89986071051678,2.066465256797583,-1.0,0.0,0,0,0,Far,Economy,Week,High,Poor,0,0,2,0,2,0,4,2,2,3,5,23,0,1,0,0,3,0,2.5
35,382,637,-1.0,Radhanagar Beach,Andaman,Beach,-0.012748240957390706,Nov-Mar,637,1.0,"Beaches, Historical",-1.0,-0.5,-0.9545454545454546,1.0,26-35,Knee Pain,Honeymoon,"Relaxation, Nightlife, Water Sports",Winter,"Crowds, sun exposure",Seafood,1.1458333333333333,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/76/7a/1d/radhanagar-beach.jpg,-1.0,-0.9097918272937549,-0.09090909090909091,-0.5282608695652175,0,1,0,0,0,0,0.0,1.5,0,0,-0.8450237213518288,0.8476273594089138,-0.29230815237421837,2.733868447058765,3.0423669407955485,-0.37499999999999994,-0.4785100334150759,0.27691026441807215,4.239130434782608,0,1,-1.0,0.0,-0.3333333333333333,-1.0,0.0,1.0,0.0,-0.012748240957390706,0.0,-1.1990407673860912,0.0,1.0,0.0,1.7238805970149254,-0.5,-0.8571428571428571,-1.2857142857142856,0.0,0,0,0,-1.0,-0.408248290463863,-0.5,-1.5,-0.5,1.0,0.0,-1.1471927162367221,-0.3826841261161515,1.0,-0.5,1.8294573643410852,-0.028147479419405378,-0.5849625007211561,0,1,0,1,-0.375,0.3934525244337349,1,-0.3333333333333335,0.28571428571428603,0,0,0.0,0.0,0.0,-1.0,0.0,0,0,0,Far,Budget,Week,High,Poor,1,2,0,1,2,3,2,3,0,14,0,28,0,0,0,0,3,0,3.0
36,24,872,0.0,Kodaikanal,Tamil Nadu,Nature,0.7000253365850423,Sep-Mar,782,-1.0,"Nature, Adventure",-1.0,0.0,0.3939393939393939,1.5,18-25,Asthma,Family Vacation,"Nature & Relaxation, Photography",Post-Monsoon,"Curvy roads, limited medical facilities",South Indian Cuisine,-0.10416666666666667,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRR1MrvitA-PthZ_UMPeUYOYvzHFu6Olty-pnoL9EqaCl31ZwvMHSvu9OQ&s=10,0.0,-0.3678819253221721,1.3333333333333333,-0.22080745341614913,1,0,0,1,0,0,-0.6666666666666666,0.5,0,0,0.06932124380065353,-0.8394116410491603,-0.48086678664453963,-0.06488085361173951,0.706591438028913,-0.6964285714285714,-0.5464628948246097,-0.5309181761399125,0.21739130434782608,0,0,0.0,0.0,0.3333333333333333,-0.3333333333333333,1.0,-1.0,0.0,0.7000253365850423,0.0,0.5947242206235012,0.21951219512195122,0.5,2.0,0.007462686567164179,0.0,0.0,0.32352321521291494,0.0,1,1,1,0.33333333333333326,0.4082482904638629,0.5,0.5,0.5,-1.0,0.0,0.09711684370257957,0.38079479158234986,0.6666666666666665,0.5801234497346432,0.847545219638243,0.6370809115052705,0.415037499278844,1,0,1,1,0.916666666666667,-0.8184267428773508,1,1.3333333333333335,-0.7669172932330826,0,1,-1.1034482758620685,1.2738172735323925,-2.054380664652568,0.33333333333333326,2.0,1,0,0,Medium,Moderate,Week,VeryHigh,Fair,4,4,2,0,0,2,1,1,1,15,14,18,1,3,0,1,1,0,2.0
43,399,501,1.0,Tawang,Arunachal Pradesh,Nature,-0.1263515010681393,Sep-Mar,200,-1.0,"City, Historical",0.0,-0.5,0.0,0.0,26-35,Asthma,Family Vacation,"Nature & Relaxation, Photography",Post-Monsoon,"Curvy roads, limited medical facilities",North East Cuisine,1.6666666666666667,https://s7ap1.scene7.com/is/image/incredibleindia/sela-pass-tawang-arunachal-pradesh-blog-ntr-hero,0.0,-0.01927525057825757,0.5454545454545454,0.2706521739130435,0,0,1,0,0,0,0.0,1.5,1,1,0.7569634414149459,-0.8803073937268657,-0.2993254131323666,0.049098626456807556,0.020514883235644866,0.0,-0.029084672640741386,1.442848219862586,2.0652173913043477,0,1,1.0,0.0,1.0,0.3333333333333333,0.0,-1.0,0.0,-0.1263515010681393,0.0,0.009592326139088728,0.0,0.0,0.0,2.470149253731343,0.5,-0.8571428571428571,0.42857142857142866,0.0,0,1,0,1.0,-0.408248290463863,1.5,0.5,-0.5,-1.0,0.0,0.0,-0.3826841261161515,0.0,-0.5,2.604651162790698,-0.20805959310680505,-0.5849625007211561,1,0,0,0,-0.375,0.3934525244337349,1,-0.3333333333333335,0.28571428571428603,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,Far,Moderate,Week,High,Excellent,4,4,1,1,0,2,1,1,1,9,1,36,0,3,0,0,0,0,3.0
47,841,655,-1.0,Ajanta Caves,Maharashtra,Historical,0.1451846886756513,Nov-Feb,795,1.0,"Beaches, Historical",-1.0,0.0,-0.3787878787878788,-1.0,36-45,Knee Pain,Leisure,"Cultural Exploration, Photography",Winter,"Long walking distances, crowd congestion",Maharashtrian Cuisine,-1.0104166666666667,https://plus.unsplash.com/premium_photo-1697729588019-20a1f5a325d1,0.0,0.6168080185042405,-0.21212121212121213,1.1673913043478261,1,0,0,1,0,0,0.0,1.5,0,0,-0.8376333474670286,0.8867062985541622,-0.2825526528537564,-0.36183552975777783,-0.4037273504582087,1.1249999999999998,1.4434220108595008,-0.4284821986258589,-0.7282608695652174,1,0,-1.0,0.0,-0.3333333333333333,-1.0,0.0,1.0,0.0,0.1451846886756513,0.0,-0.47002398081534774,0.0,-1.0,0.0,-1.3656716417910448,-0.5,0.0,-1.2857142857142856,0.0,0,0,1,-0.5,0.591751709536137,-0.5,-0.5,0.0,1.0,0.0,-0.0637329286798179,0.8831172141141957,0.25,2.0,-0.5736434108527132,-0.6964193650240628,0.0,0,1,0,1,0.96875,-0.9770107205690365,1,2.1666666666666665,-1.5324675324675323,0,1,-1.6551724137931032,2.523518206116793,-1.8851963746223566,-0.5,1.0,1,0,0,Near,Economy,Weekend,VeryHigh,Poor,3,1,0,2,2,4,0,3,3,6,10,1,2,1,1,1,3,0,3.0
