ReviewID,DestinationID_x,UserID,Rating,Name_x,State,Type,Popularity,BestTimeToVisit,DestinationID_y,ExperienceRating,Preferences,NumberOfAdults,NumberOfChildren,EstimatedBudget,No_of_Days,Age_Range,Health_Issue,Purpose,Interest,Seasonality,Difficulties,Cuisine_Type,Distance_km,Image_URL,TotalTravelers,BudgetPerDay,BudgetPerPerson,BudgetPerPersonDay,HasKids,Solo,Couple,Family,Group,LargeFamily,AvgRating,RatingGap,HighRating,VeryHighRating,PopRating,PopExpRating,QualityScore,ValuePerRupee,PopPerRupee,RatingPerDay,PopPerDay,DistPerDay,DistPerPerson,NearDest,FarDest,DestRatingMean,DestRatingStd,DestRatingMin,DestRatingMax,DestReviewCount,DestExpMean,DestExpStd,DestPopMean,DestPopStd,DestBudgetMean,DestBudgetStd,DestDaysMean,DestDaysStd,DestDistMean,DestAdultsMean,DestChildrenMean,DestReliability,DestConsistency,DestPopular,DestPremium,DestFamilyFriendly,UserRatingMean,UserRatingStd,UserRatingMin,UserRatingMax,UserReviewCount,UserExpMean,UserExpStd,UserBudgetMean,UserBudgetStd,UserDaysMean,UserDaysStd,UserDistMean,UserPopMean,UserExperience,UserGenerous,UserCritical,UserBigSpender,UserLongTrips,BudgetDiff,BudgetMatch,WithinBudget,DaysDiff,DaysMatch,AboveUserAvg,BelowUserAvg,RatingVsUser,PopVsUserPref,DistVsUserPref,UserTypeRating,UserTypeCount,TypeFamiliar,TypeExpert,TypeNovice,DistCat,BudgetCat,DurationCat,PopCat,RatingCat,Type_Enc,BestTimeToVisit_Enc,Preferences_Enc,Age_Range_Enc,Health_Issue_Enc,Purpose_Enc,Interest_Enc,Seasonality_Enc,Difficulties_Enc,Cuisine_Type_Enc,State_Enc,Name_x_Enc,DistCat_Enc,BudgetCat_Enc,DurationCat_Enc,PopCat_Enc,RatingCat_Enc,Target,RatingScore
4,358,959,3,Delhi,Delhi,City,7.738761293,Oct-Mar,660,4,"Nature, Adventure",1,1,31500,1,46-60,High Blood Pressure,Business,"Shopping, Food & Local Cuisine",All seasons,"Traffic congestion, pollution",Street Food,1410,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFxblF-zkMM4NsiVuRyJ1Yx76TMcpdDWzU6zEf57y1aQ&s=10,2,31500.0,15750.0,15750.0,1,0,0,1,0,0,3.5,1,0,0,23.216283879,30.955045172,0.92865135516,0.1076923076923077,0.23811573209230769,3.5,7.738761293,1410.0,705.0,0,0,2.5,0.7071067811865476,2,3,2,4.5,0.7071067811865476,7.738761293,0.0,54250.0,32173.358543987913,2.0,1.4142135623730951,1060.0,1.5,1.5,2.7465307216702737,1.238993430992954,1,1,1,4.0,1.4142135623730951,3,5,2,4.0,0.0,41500.0,14142.13562373095,3.5,3.5355339059327378,1275.0,7.657647903,1.0986122886681096,1,0,0,0,10000.0,0.7590419507963664,1,2.5,0.4444444444444444,0,1,-1.0,0.08111338999999962,135.0,4.0,2,1,0,0,Medium,Economy,Weekend,High,Fair,2,3,2,3,1,1,3,0,4,16,2,9,1,1,1,0,1,0,3.5
5,989,353,2,Munnar,Kerala,Nature,8.208087955,Sep-Mar,894,5,"Nature, Adventure",2,0,52500,4,26-35,Asthma,Family Vacation,"Nature & Relaxation, Photography",Post-Monsoon,"Curvy roads, limited medical facilities",Kerala Cuisine,1480,https://images.unsplash.com/photo-1491497895121-1334fc14d8c9,2,13125.0,26250.0,6562.5,0,0,1,0,0,0,3.5,3,0,0,16.41617591,41.040439774999996,0.8208087955,0.24778761061946902,0.5811035720353982,0.875,2.05202198875,370.0,740.0,0,0,2.0,0.0,2,2,1,5.0,0.0,8.208087955,0.0,52500.0,0.0,4.0,0.0,1480.0,2.0,0.0,1.3862943611198906,10.0,0,1,0,2.0,0.0,2,2,1,5.0,0.0,52500.0,0.0,4.0,0.0,1480.0,8.208087955,0.6931471805599453,0,1,0,0,0.0,1.0,1,0.0,1.0,0,0,0.0,0.0,0.0,2.0,1,0,0,0,Medium,Moderate,Week,High,Poor,4,4,2,1,0,2,1,1,1,5,7,26,1,3,0,0,3,0,3.5
7,977,735,3,Baga Beach,Goa,Beach,8.499576396,Nov-Mar,7,3,"City, Historical",1,0,17000,4,46-60,Knee Pain,Honeymoon,"Relaxation, Nightlife, Water Sports",Winter,"Crowds, sun exposure",Seafood,590,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeseYB8OMIYAnzRmlYP6matYpojVkK9lRx0Wgn7x8BYcxvxjfwm4QrUxM&s=10,1,4250.0,17000.0,4250.0,0,1,0,0,0,0,3.0,0,0,0,25.498729188,25.498729188,0.76496187564,0.5714285714285714,1.6189669325714287,0.75,2.124894099,147.5,590.0,0,0,3.3333333333333335,0.5773502691896257,3,4,3,4.333333333333333,1.1547005383792517,8.499576396,0.0,18666.666666666668,4725.815626252609,4.0,2.0,908.3333333333334,1.3333333333333333,0.0,4.620981203732969,1.4763410387308014,1,0,0,2.0,1.4142135623730951,1,3,2,3.0,0.0,16250.0,1060.6601717798212,2.5,2.1213203435596424,1395.0,8.616820496999999,1.0986122886681096,0,1,0,0,750.0,0.9538489939080672,1,1.5,0.5714285714285714,1,0,1.0,-0.11724410099999893,-805.0,3.0,1,0,0,0,Near,Budget,Week,High,Fair,1,2,1,3,2,3,2,3,0,14,3,3,2,0,0,0,1,0,3.0
9,698,330,2,Jaipur,Rajasthan,City,8.305889899,Oct-Mar,208,3,"City, Historical",2,1,52500,2,46-60,High Blood Pressure,Business,"Shopping, Food & Local Cuisine",All seasons,"Traffic congestion, pollution",Rajasthani Cuisine,1140,https://t4.ftcdn.net/jpg/05/84/76/73/360_F_584767353_EXYOkE8NcX37UwV4WfBw7AjBaEtU6mMy.jpg,3,26250.0,17500.0,8750.0,1,0,0,1,0,0,2.5,1,0,0,16.611779798,24.917669697,0.49835339394,0.09174311926605505,0.30480329904587156,1.25,4.1529449495,570.0,380.0,0,0,2.0,0.0,2,2,1,3.0,0.0,8.305889899,0.0,52500.0,0.0,2.0,0.0,1140.0,2.0,1.0,1.3862943611198906,10.0,0,1,1,1.6666666666666667,0.5773502691896258,1,2,3,3.3333333333333335,0.5773502691896258,58666.666666666664,5795.112883571237,4.0,1.7320508075688772,1240.0,8.598847223666667,1.3862943611198906,0,1,1,0,6166.666666666664,0.8948881553155345,1,2.0,0.6,1,0,0.33333333333333326,-0.29295732466666635,-100.0,2.0,1,0,0,0,Medium,Moderate,Weekend,High,Poor,2,3,1,3,1,1,3,0,4,13,13,15,1,3,1,0,3,0,2.5
12,305,813,2,Ooty,Tamil Nadu,Nature,8.111872494,Apr-Jun,441,2,"City, Historical",1,2,56000,3,18-25,Knee Pain,Adventure,"Trekking, Adventure Sports",Summer,"High altitude, physical exertion",South Indian Cuisine,1180,https://t3.ftcdn.net/jpg/05/09/58/00/360_F_509580096_YjyHXMHyTm9OOkjUQS4kOxDXkxbOMWYi.jpg,3,18666.666666666668,18666.666666666668,6222.222222222223,1,0,0,1,0,0,2.0,0,0,0,16.223744988,16.223744988,0.32447489976,0.10169491525423728,0.4124680929152542,0.6666666666666666,2.703957498,393.3333333333333,393.3333333333333,0,0,2.5,0.7071067811865476,2,3,2,2.0,0.0,8.111872494,0.0,40500.0,21920.310216782975,3.0,0.0,1440.0,1.0,1.0,2.7465307216702737,1.238993430992954,1,0,1,3.0,1.4142135623730951,2,4,2,2.0,0.0,63000.0,9899.494936611665,4.0,1.4142135623730951,607.5,7.856677791,1.0986122886681096,0,0,1,0,7000.0,0.888890652529325,1,1.0,0.8,0,1,-1.0,0.2551947029999999,572.5,2.0,1,0,0,0,Medium,Moderate,Weekend,High,Poor,4,0,1,0,2,0,4,2,2,15,14,27,1,3,1,0,3,0,2.0
14,300,626,1,Manali,Himachal Pradesh,Adventure,7.799198882,Apr-Jun,952,4,"Nature, Adventure",2,0,48500,5,18-25,Knee Pain,Adventure,"Trekking, Adventure Sports",Summer,"High altitude, physical exertion",Himachali Cuisine,1850,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/b2/79/37/solang-valley-manali.jpg,2,9700.0,24250.0,4850.0,0,0,1,0,0,0,2.5,3,0,0,7.799198882,31.196795528,0.31196795528,0.23364485981308414,0.728897091775701,0.5,1.5598397764,370.0,925.0,0,0,1.0,0.0,1,1,1,4.0,0.0,7.799198882,0.0,48500.0,0.0,5.0,0.0,1850.0,2.0,0.0,0.6931471805599453,10.0,0,0,0,1.5,0.7071067811865476,1,2,2,4.5,0.7071067811865476,44250.0,6010.407640085654,5.5,0.7071067811865476,1280.0,8.0009124305,1.0986122886681096,0,1,0,1,4250.0,0.9039569727237803,1,0.5,0.9230769230769231,0,1,-0.5,-0.2017135484999999,570.0,1.0,1,0,0,0,Far,Economy,Week,High,Poor,0,0,2,0,2,0,4,2,2,3,5,23,0,1,0,0,3,0,2.5
35,382,637,1,Radhanagar Beach,Andaman,Beach,8.487140997,Nov-Mar,637,5,"Beaches, Historical",1,0,21000,6,26-35,Knee Pain,Honeymoon,"Relaxation, Nightlife, Water Sports",Winter,"Crowds, sun exposure",Seafood,2500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/76/7a/1d/radhanagar-beach.jpg,1,3500.0,21000.0,3500.0,0,1,0,0,0,0,3.0,4,0,0,8.487140997,42.435704984999994,0.42435704984999995,0.6666666666666666,1.8860313326666664,0.5,1.4145234994999998,416.6666666666667,2500.0,0,1,1.0,0.0,1,1,1,5.0,0.0,8.487140997,0.0,21000.0,0.0,6.0,0.0,2500.0,1.0,0.0,0.6931471805599453,10.0,0,0,0,1.0,0.0,1,1,1,5.0,0.0,21000.0,0.0,6.0,0.0,2500.0,8.487140997,0.6931471805599453,0,1,0,1,0.0,1.0,1,0.0,1.0,0,0,0.0,0.0,0.0,1.0,1,0,0,0,Far,Budget,Week,High,Poor,1,2,0,1,2,3,2,3,0,14,0,28,0,0,0,0,3,0,3.0
36,24,872,3,Kodaikanal,Tamil Nadu,Nature,9.182423104,Sep-Mar,782,1,"Nature, Adventure",1,1,65500,7,18-25,Asthma,Family Vacation,"Nature & Relaxation, Photography",Post-Monsoon,"Curvy roads, limited medical facilities",South Indian Cuisine,1300,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRR1MrvitA-PthZ_UMPeUYOYvzHFu6Olty-pnoL9EqaCl31ZwvMHSvu9OQ&s=10,2,9357.142857142857,32750.0,4678.571428571428,1,0,0,1,0,0,2.0,2,0,0,27.547269311999997,9.182423104,0.27547269312,0.19310344827586207,0.8865787824551723,0.2857142857142857,1.3117747291428572,185.71428571428572,650.0,0,0,3.0,0.0,3,3,2,1.0,0.0,9.182423104,0.0,67750.0,3181.9805153394636,5.0,2.8284271247461903,1350.0,1.5,1.0,3.2958368660043287,10.0,1,1,1,3.6666666666666665,1.1547005383792515,3,5,3,1.0,0.0,55166.666666666664,9169.696468985945,5.333333333333333,1.5275252316519465,1866.6666666666667,8.896883131666668,1.3862943611198906,1,0,1,1,10333.333333333336,0.8126922170595094,1,1.666666666666667,0.7368421052631579,0,1,-0.6666666666666665,0.28553997233333206,-566.6666666666667,3.6666666666666665,3,1,0,0,Medium,Moderate,Week,VeryHigh,Fair,4,4,2,0,0,2,1,1,1,15,14,18,1,3,0,1,1,0,2.0
43,399,501,5,Tawang,Arunachal Pradesh,Nature,8.376325562,Sep-Mar,200,1,"City, Historical",2,0,52500,4,26-35,Asthma,Family Vacation,"Nature & Relaxation, Photography",Post-Monsoon,"Curvy roads, limited medical facilities",North East Cuisine,3000,https://s7ap1.scene7.com/is/image/incredibleindia/sela-pass-tawang-arunachal-pradesh-blog-ntr-hero,2,13125.0,26250.0,6562.5,0,0,1,0,0,0,3.0,4,1,1,41.88162781,8.376325562,0.4188162781,0.21238938053097345,0.593014199079646,0.75,2.0940813905,750.0,1500.0,0,1,5.0,0.0,5,5,1,1.0,0.0,8.376325562,0.0,52500.0,0.0,4.0,0.0,3000.0,2.0,0.0,3.4657359027997265,10.0,0,1,0,5.0,0.0,5,5,1,1.0,0.0,52500.0,0.0,4.0,0.0,3000.0,8.376325562,0.6931471805599453,1,0,0,0,0.0,1.0,1,0.0,1.0,0,0,0.0,0.0,0.0,5.0,1,0,0,0,Far,Moderate,Week,High,Excellent,4,4,1,1,0,2,1,1,1,9,1,36,0,3,0,0,0,0,3.0
47,841,655,1,Ajanta Caves,Maharashtra,Historical,8.641198251,Nov-Feb,795,5,"Beaches, Historical",1,1,40000,2,36-45,Knee Pain,Leisure,"Cultural Exploration, Photography",Winter,"Long walking distances, crowd congestion",Maharashtrian Cuisine,430,https://plus.unsplash.com/premium_photo-1697729588019-20a1f5a325d1,2,20000.0,20000.0,10000.0,1,0,0,1,0,0,3.0,4,0,0,8.641198251,43.205991255,0.43205991255,0.14285714285714285,0.411485631,1.5,4.3205991255,215.0,215.0,1,0,1.0,0.0,1,1,1,5.0,0.0,8.641198251,0.0,40000.0,0.0,2.0,0.0,430.0,1.0,1.0,0.6931471805599453,10.0,0,0,1,2.0,1.4142135623730951,1,3,2,5.0,0.0,50750.0,15202.795795510772,4.5,3.5355339059327378,950.0,8.075524246,1.0986122886681096,0,1,0,1,10750.0,0.7881815136647554,1,2.5,0.5454545454545454,0,1,-1.0,0.565674005,-520.0,2.0,2,1,0,0,Near,Economy,Weekend,VeryHigh,Poor,3,1,0,2,2,4,0,3,3,6,10,1,2,1,1,1,3,0,3.0
